File, Match, Links,style,script,href
Accessibility Insights for Web.crx,Matches 
File, Match, Links,style,script,href
Accessibility Insights for Web.crx,Matches 
Helperbird  Accessibility & Productivity App.crx,Doesn't match,0,7,0,0,
Siteimprove Accessibility Checker.crx,Matches 
IBM Equal Access Accessibility Checker.crx,Matches 
Stark Accessibility Checker.crx,Matches 
EqualWeb Accessibility Checker.crx,Doesn't match,0,0,0,0,
Pixie  Web Accessibility & Productivity Tool.crx,Matches 
Accessible Web Helper.crx,Doesn't match,1,0,0,1,
WAVE Evaluation Tool.crx,Matches 
Silktide - website accessibility simulator.crx,Matches 
Access Assistant.crx,Matches 
Color Contrast Analyzer.crx,Doesn't match,1,0,1,1,
Accessibility - A Powerful Web Assistant.crx,Matches 
Text Reader (Text to Speech) TTS by Read me.crx,Doesn't match,0,1,0,0,
LERA.crx,Matches 
OpenWAX.crx,Matches 
ARC Toolkit.crx,Matches 
ChromeLens.crx,Matches 
Video downloader - download any video for free.crx,Matches 
Chrome Step Recorder.crx,Matches 
Kami for Google Chrome™.crx,Matches 
website broken link and 404 error checker.crx,Matches 
Dyslexie Font  Dyslexia Accessibility Reader.crx,Matches 
ATbar.crx,Matches 
HTML5 Audio Description (via text to speech).crx,Matches 
High Contrast.crx,Doesn't match,0,1,0,0,
Web Maker.crx,Matches 
GPTx.crx,Matches 
Text to image.crx,Matches 
Bard For Google.crx,Matches 
Cute Cursors - Custom Cursor for Chrome.crx,Doesn't match,0,0,1,0,
Talkie  text-to-speech  many languages!.crx,Matches 
1VPN - Free VPN for Chrome.crx,Matches 
ARIA DevTools.crx,Matches 
Emoji Keyboard 2023 - for Chrome Browser.crx,Doesn't match,0,0,1,0,
Kontrast - WCAG Contrast Checker.crx,Matches 
Reactime.crx,Doesn't match,0,0,1,0,
Hexomatic.crx,Matches 
Text to Speech  Voice Reader TTS.crx,Doesn't match,0,0,1,0,
Custom Cursor for Chrome™ - CUTE➤.crx,Doesn't match,0,0,1,0,
webhint.crx,Matches 
PureVPN Proxy - Best VPN for Chrome.crx,Matches 
Semflow Chrome Extension.crx,Matches 
GenAlt - Generated AI Image Descriptions.crx,Matches 
Notion Canvas Assignment Import.crx,Matches 
SAS Graphics Accelerator.crx,Doesn't match,0,0,1,0,
Alix for Chrome.crx,Matches 
Check1st  ADA Website Compliance Checker.crx,Matches 
WIREFOX SEO TOOLKIT - SEO ANALYSIS TOOL.crx,Matches 
Simple Calculator.crx,Matches 
Text to speech that brings productivity.crx,Matches 
Hacker Vision.crx,Doesn't match,0,0,0,0,
Summary with ChatGPT for Google™ and YouTube™.crx,Matches 
SignUp - Sign Language for Netflix & Disney+.crx,Matches 
Volume Booster.crx,Doesn't match,0,0,0,0,
Volume Booster_1.crx,Matches 
Autofill.crx,Matches 
DotVPN  Global Access VPN for Chrome.crx,Matches 
VPN Surf - Fast VPN by unblock.crx,Matches 
Zoom for Google Chrome.crx,Matches 
VPN Unlimited - Best VPN by unblock.crx,Matches 
Quick Javascript Switcher.crx,Matches 
SEO Analysis & Website Review by WooRank.crx,Matches 
VisBug.crx,Matches 
OpenDyslexic for Chrome.crx,Matches 
Sound Equaliser.crx,Matches 
Bookmarks clean up.crx,Matches 
Video Downloader for Chrome.crx,Doesn't match,0,1,0,0,
Midnight Lizard.crx,Doesn't match,0,3,1,0,
Katalon Recorder (Selenium tests generator).crx,Doesn't match,0,0,2,0,
NoteGPT  Summary with ChatGPT and Take Notes.crx,Matches 
ChatGPT for Amazon with GPT4 Shulex Copilot.crx,Doesn't match,0,31,0,0,
HeadingsMap.crx,Matches 
Smart Page Ruler.crx,Matches 
Speech Recognition Anywhere.crx,Matches 
Anime Wallpaper HD Custom New Tab.crx,Matches 
5irechain Wallet.crx,Matches 
HTML Validator.crx,Matches 
Genshin Impact Live Wallpaper HD New Tab.crx,Matches 
Audio Equalizer.crx,Matches 
Colour Contrast Checker.crx,Matches 
